id,url,startDate,type,homeTeam,homeScore,homeWins,homeLosses,awayTeam,awayScore,awayWins,awayLosses
0011800001,20180928/MELPHI,20180928,Preseason,1610612755,104,1,0,15016,84,0,1
0011800002,20180928/BOSCHA,20180928,Preseason,1610612766,104,1,0,1610612738,97,0,1
0011800003,20180929/PORTOR,20180929,Preseason,1610612761,122,1,0,1610612757,104,0,1
0011800004,20180929/BJDDAL,20180929,Preseason,1610612742,116,1,0,15021,63,0,1
0011800005,20180929/MINGSW,20180929,Preseason,1610612744,110,0,1,1610612750,114,1,0
0011800006,20180929/PERUTA,20180929,Preseason,1610612762,130,1,0,104,72,0,1
0011800007,20180930/MIASAS,20180930,Preseason,1610612759,104,1,0,1610612748,100,0,1
0011800008,20180930/CHABOS,20180930,Preseason,1610612738,115,1,1,1610612766,112,1,1
0011800009,20180930/NOPCHI,20180930,Preseason,1610612741,128,1,0,1610612740,116,0,1
0011800010,20180930/DENLAL,20180930,Preseason,1610612747,107,0,1,1610612743,124,1,0
0011800011,20180930/SYDLAC,20180930,Preseason,1610612746,110,1,0,15015,91,0,1
0011800012,20181001/ORLPHI,20181001,Preseason,1610612755,120,2,0,1610612753,114,0,1
0011800013,20181001/NYKWAS,20181001,Preseason,1610612764,121,0,1,1610612752,124,1,0
0011800014,20181001/NOPATL,20181001,Preseason,1610612737,116,1,0,1610612740,102,0,2
0011800015,20181001/SACPHX,20181001,Preseason,1610612756,102,0,1,1610612758,106,1,0
0011800016,20181002/MIACHA,20181002,Preseason,1610612766,122,2,1,1610612748,113,0,2
0011800017,20181002/CLEBOS,20181002,Preseason,1610612738,95,1,2,1610612739,102,1,0
0011800018,20181002/MEMHOU,20181002,Preseason,1610612745,131,1,0,1610612763,115,0,1
0011800019,20181002/TORUTA,20181002,Preseason,1610612762,105,2,0,1610612761,90,1,1
0011800020,20181002/DENLAL,20181002,Preseason,1610612747,111,0,2,1610612743,113,2,0
0011800021,20181003/NYKBKN,20181003,Preseason,1610612751,102,0,1,1610612752,107,2,0
0011800022,20181003/CHIMIL,20181003,Preseason,1610612749,116,1,0,1610612741,82,1,1
0011800023,20181003/DETOKC,20181003,Preseason,1610612760,91,0,1,1610612765,97,1,0
0011800024,20181003/NZBPHX,20181003,Preseason,1610612756,91,1,1,15020,86,0,1
0011800025,20181003/MINLAC,20181003,Preseason,1610612746,128,2,0,1610612750,101,1,1
0011800026,20181004/INDHOU,20181004,Leaf: 13 points; 12 rebounds; 2 steals,1610612745,100,1,1,1610612754,110,1,0
0011800027,20181004/SACLAL,20181004,Ingram: 31 points; 9 rebounds,1610612747,128,1,2,1610612758,123,1,1
0011800028,20181005/PHIDAL,20181005,NBA China Games 2018 (Shanghai),1610612742,114,1,1,1610612755,120,3,0
0011800029,20181005/FLAORL,20181005,Preseason,1610612753,119,1,1,12325,82,0,1
0011800030,20181005/MELTOR,20181005,Preseason,1610612761,120,2,1,15016,82,0,2
0011800031,20181005/MIAWAS,20181005,Preseason,1610612764,121,1,1,1610612748,114,0,3
0011800032,20181005/NOPNYK,20181005,Preseason,1610612752,106,3,0,1610612740,100,0,3
0011800033,20181005/ATLMEM,20181005,Preseason,1610612763,120,1,1,1610612737,110,1,1
0011800034,20181005/OKCMIN,20181005,Preseason,1610612750,101,1,2,1610612760,113,1,1
0011800035,20181005/DETSAS,20181005,Preseason,1610612759,117,2,0,1610612765,93,1,1
0011800036,20181005/PERDEN,20181005,Preseason,1610612743,96,3,0,104,88,0,2
0011800037,20181005/ADLUTA,20181005,Preseason,1610612762,129,3,0,15019,99,0,1
0011800038,20181005/PORPHX,20181005,Preseason,1610612756,93,1,2,1610612757,115,1,1
0011800039,20181005/SACGSW,20181005,Preseason,1610612744,122,1,1,1610612758,94,1,2
0011800040,20181006/BOSCLE,20181006,Zizic: 20 points; 5 rebounds,1610612739,113,2,0,1610612738,102,1,3
0011800041,20181006/INDMEM,20181006,Seldon: 16 points; 9 assists,1610612763,109,2,1,1610612754,104,1,1
0011800042,20181006/LACLAL,20181006,Harris: 18 points; 8 rebounds,1610612747,87,1,3,1610612746,103,3,0
0011800043,20181007/ATLOKC,20181007,Preseason,1610612760,113,2,1,1610612737,94,1,2
0011800044,20181007/HOUSAS,20181007,Preseason,1610612759,93,2,1,1610612745,108,2,1
0011800045,20181007/MILMIN,20181007,Preseason,1610612750,107,1,3,1610612749,125,2,0
0011800046,20181007/UTAPOR,20181007,Preseason,1610612757,112,1,2,1610612762,123,4,0
0011800047,20181008/DALPHI,20181008,NBA China Games 2018 (Shenzhen),1610612755,112,3,1,1610612742,115,2,1
0011800048,20181008/CHICHA,20181008,Preseason,1610612766,110,3,1,1610612741,104,1,2
0011800049,20181008/INDCLE,20181008,Preseason,1610612739,102,2,1,1610612754,111,2,1
0011800050,20181008/BKNDET,20181008,Preseason,1610612765,108,1,2,1610612751,110,1,1
0011800051,20181008/ORLMIA,20181008,Preseason,1610612748,90,1,3,1610612753,89,1,2
0011800052,20181008/WASNYK,20181008,Preseason,1610612752,98,3,1,1610612764,110,2,1
0011800053,20181008/MACSAC,20181008,Preseason,1610612758,132,2,2,93,100,0,1
0011800054,20181008/PHXGSW,20181008,Preseason,1610612744,109,1,2,1610612756,117,2,2
0011800055,20181009/SDSHOU,20181009,Harden: 37 points; 9 assists; 3 steals,1610612745,128,3,1,12329,86,0,1
0011800056,20181009/MILOKC,20181009,Preseason,1610612760,119,3,1,1610612749,115,2,1
0011800057,20181009/DENLAC,20181009,Preseason,1610612746,109,4,0,1610612743,103,3,1
0011800058,20181010/WASDET,20181010,Preseason,1610612765,97,1,3,1610612764,102,3,1
0011800059,20181010/MEMORL,20181010,Preseason,1610612753,102,2,2,1610612763,86,2,2
0011800060,20181010/BKNTOR,20181010,Preseason,1610612761,118,3,1,1610612751,91,1,2
0011800061,20181010/SASATL,20181010,Preseason,1610612737,130,2,2,1610612759,127,2,2
0011800062,20181010/NOPMIA,20181010,Preseason,1610612748,140,2,3,1610612740,128,0,4
0011800063,20181010/INDCHI,20181010,Preseason,1610612741,104,2,2,1610612754,89,2,2
0011800064,20181010/PHXPOR,20181010,Preseason,1610612757,116,2,2,1610612756,83,2,3
0011800065,20181010/GSWLAL,20181010,Preseason,1610612747,123,2,3,1610612744,113,1,3
0011800066,20181011/TORNOP,20181011,Preseason,1610612740,119,0,5,1610612761,134,4,1
0011800068,20181011/UTASAC,20181011,Preseason,1610612758,93,2,3,1610612762,132,5,0
0011800067,20181011/MACLAC,20181011,Preseason,1610612746,124,5,0,93,76,0,2
0011800069,20181012/SASORL,20181012,Preseason,1610612753,81,2,3,1610612759,100,3,2
0011800070,20181012/GUAWAS,20181012,Preseason,1610612764,140,4,1,15018,111,0,1
0011800071,20181012/CHADAL,20181012,Preseason,1610612742,118,2,2,1610612766,123,4,1
0011800075,20181012/DETCLE,20181012,Preseason,1610612739,110,2,2,1610612765,129,2,3
0011800072,20181012/BKNNYK,20181012,Preseason,1610612752,107,3,2,1610612751,113,2,2
0011800073,20181012/ATLMIA,20181012,Preseason,1610612748,119,3,3,1610612737,113,2,3
0011800074,20181012/DENCHI,20181012,Preseason,1610612741,93,2,3,1610612743,98,4,1
0011800076,20181012/HOUMEM,20181012,Preseason,1610612763,103,2,3,1610612745,121,4,1
0011800077,20181012/MINMIL,20181012,Preseason,1610612749,143,3,1,1610612750,121,1,4
